year,month,CAPE,real stock return,real bond return,
1871,1,NA,-0.011781082556908900000,-0.025576313862529000000,
1871,2,NA,0.014230495615726900000,-0.010482812039788500000,
1871,3,NA,0.072025887224156100000,0.042221160756161600000,
1871,4,NA,0.053836457888706500000,0.027536685188631600000,
1871,5,NA,0.011919594489225600000,0.020005475627664600000,
1871,6,NA,-0.014177040110650000000,0.004191018783841430000,
1871,7,NA,0.033538328930576400000,0.020257381018836500000,
1871,8,NA,-0.008824594313369680000,-0.019337381328978800000,
1871,9,NA,-0.061831967262259100000,-0.011246415984324400000,
1871,10,NA,0.015613652868554900000,0.004202285094247360000,
1871,11,NA,0.003068675234899840000,-0.018450780594661000000,
1871,12,NA,0.029945499296765200000,0.004207918199880640000,
1872,1,NA,0.008688271604938120000,0.003059999885748570000,
1872,2,NA,0.022032032399271800000,-0.011780710279819100000,
1872,3,NA,0.009850827724439130000,-0.018717910947579500000,
1872,4,NA,0.004451415701415720000,0.003109341021749530000,
1872,5,NA,0.002115177260325840000,0.010449372755310300000,
1872,6,NA,0.013553496499715900000,0.018006687111636700000,
1872,7,NA,-0.014382455292710000000,-0.004219020439972470000,
1872,8,NA,-0.020267572253573500000,-0.004148837446976470000,
1872,9,NA,0.031571912366441300000,0.025655769703309300000,
1872,10,NA,-0.028068265695497500000,-0.025876425254515600000,
1872,11,NA,0.044432716627218000000,0.017980770362952400000,
1872,12,NA,0.012861604207758100000,0.003240857406025870000,
1873,1,NA,-0.009055682681793910000,-0.016349281335941500000,
1873,2,NA,-0.002791262135922290000,0.005339872029567650000,
1873,3,NA,-0.008643183300717560000,0.005332522649552640000,
1873,4,NA,0.029365978544623400000,0.027499752424897900000,
1873,5,NA,0.021376943562664700000,0.035781804005085000000,
1873,6,NA,0.003304886211512590000,0.005310475525659000000,
1873,7,NA,0.005365526492287160000,0.005303126823460460000,
1873,8,NA,-0.071051307847082500000,0.005295778291001920000,
1873,9,NA,-0.059880768121092000000,0.028665379701256600000,
1873,10,NA,0.001776585620768990000,0.037449802928291700000,
1873,11,NA,0.075066783371136000000,-0.018285541716767800000,
1873,12,NA,0.044208189410955200000,-0.010195909218729800000,
1874,1,NA,0.035944206008583500000,0.007109145660312070000,
1874,2,NA,-0.008854166666666500000,0.007085229733155400000,
1874,3,NA,-0.006387141493742640000,0.022793202182247500000,
1874,4,NA,-0.012391412840712900000,0.014968498777829800000,
1874,5,NA,0.025906272157418100000,0.031374865992858500000,
1874,6,NA,-0.001885051745848300000,-0.001067913681777060000,
1874,7,NA,0.016542068924870500000,0.015088137299465600000,
1874,8,NA,0.021812080536912900000,0.006941907708844840000,
1874,9,NA,0.020314703613116200000,0.023428358463346600000,
1874,10,NA,0.023282842605078200000,0.015210254371628200000,
1874,11,NA,-0.000547045951860059000,0.006870359176922800000,
1874,12,NA,0.006011380323054370000,0.006846526467274790000,
1875,1,NA,0.003762848751835520000,0.007343192688840760000,
1875,2,NA,0.019177704194260500000,0.007315568235934930000,
1875,3,NA,0.010535498754658400000,-0.000963200456164715000,
1875,4,NA,-0.008643918688295950000,0.032651544583029300000,
1875,5,NA,0.002584742779475620000,0.024446617072710900000,
1875,6,NA,0.008228691019787070000,0.007205217482827870000,
1875,7,NA,0.001882838227931890000,-0.001352257345241360000,
1875,8,NA,0.005253995098519540000,0.015752678008144500000,
1875,9,NA,-0.010202135774218200000,0.007122610054425940000,
1875,10,NA,0.030954846952940200000,0.015778741495330300000,
1875,11,NA,0.014468034889571400000,0.015826537940161000000,
1875,12,NA,0.035320441895841900000,0.015875669754273700000,
1876,1,NA,0.019058295964125700000,0.004753525293830220000,
1876,2,NA,0.003318584070796330000,0.004744302568157500000,
1876,3,NA,-0.023591287259067700000,0.013620781055804000000,
1876,4,NA,0.004449406036023840000,0.041596172482815800000,
1876,5,NA,0.027077762058112900000,0.033157949535551800000,
1876,6,NA,-0.006024096385542350000,0.004707415422638750000,
1876,7,NA,-0.044382990869537700000,-0.004693450442340600000,
1876,8,NA,-0.063461881412508900000,-0.004615607052711910000,
1876,9,NA,-0.016847496583326000000,-0.013583192845273100000,
1876,10,NA,-0.021161967290675700000,-0.004382425764926980000,
1876,11,NA,-0.016338413270712500000,-0.013123918017213100000,
1876,12,NA,-0.018970299977996300000,-0.012816299382843100000,
1877,1,NA,-0.027165913808983100000,0.031345131232131600000,
1877,2,NA,0.000570589750275019000,0.051373147080926400000,
1877,3,NA,-0.091114358377400500000,-0.022963560068778800000,
1877,4,NA,-0.010784282993538100000,-0.013519211754001700000,
1877,5,NA,-0.011526854953168300000,0.061270606024755200000,
1877,6,NA,0.041327946358997100000,-0.004983016726173850000,
1877,7,NA,0.118621469586284000000,0.043404097463696000000,
1877,8,NA,0.078712808609803700000,0.014240269763903000000,
1877,9,NA,0.026962448559670900000,0.004383915860302290000,
1877,10,NA,0.009703171122747540000,0.024459675533296400000,
1877,11,NA,0.001789366053169820000,0.004369263380588300000,
1877,12,NA,0.035935702303652800000,0.035431220112956500000,
1878,1,NA,-0.006474284956746620000,0.014877682420796100000,
1878,2,NA,0.045568567494805900000,0.025788725017088700000,
1878,3,NA,0.043685077789283200000,0.015208144020793600000,
1878,4,NA,0.041238532906561200000,0.037875242944858800000,
1878,5,NA,0.048877163237631900000,0.027211852568080200000,
1878,6,NA,0.013519522502618100000,-0.006896029703761240000,
1878,7,NA,-0.015297720462645100000,-0.006788063365073650000,
1878,8,NA,0.024698067632850300000,0.004366010495408190000,
1878,9,NA,0.004096927466574090000,0.015645348198029700000,
1878,10,NA,0.012828744373244200000,0.015755765688643600000,
1878,11,NA,0.021786208895101500000,0.027703783667920800000,
1878,12,NA,0.030089770595549800000,-0.007212266054712700000,
1879,1,NA,0.028752438650330200000,-0.006554917027446150000,
1879,2,NA,-0.000658612030057237000,0.016405907151858500000,
1879,3,NA,0.049201535074767400000,0.016527272836356100000,
1879,4,NA,0.049255083996463400000,0.004827808441316030000,
1879,5,NA,0.020964864575943300000,0.016634733685102700000,
1879,6,NA,0.012327968482860100000,-0.006880068471305620000,
1879,7,NA,0.011412953795379500000,0.004789288839121890000,
1879,8,NA,0.005765485768111090000,-0.029089934364105000000,
1879,9,NA,0.053690544627602100000,-0.048683291031441200000,
1879,10,NA,0.003566556166722190000,-0.045996042038621300000,
1879,11,NA,-0.028097060067781000000,-0.024810951226636200000,
1879,12,NA,0.012310070825794800000,-0.023987137707077100000,
1880,1,NA,0.021037181996086000000,0.005530663979801840000,
1880,2,NA,0.013034590501144900000,-0.003968707245256780000,
1880,3,NA,0.019280885627268800000,0.044922527846909600000,
1880,4,NA,-0.047518840412193300000,0.035938640625160700000,
1880,5,NA,0.029003276076562800000,0.026187997641327500000,
1880,6,NA,0.050017397355602000000,0.005433156824008910000,
1880,7,NA,0.039920159680638700000,0.005413669529401140000,
1880,8,NA,-0.008219628477285520000,-0.004867076052226690000,
1880,9,NA,0.032979407979408100000,0.005374709151805930000,
1880,10,NA,0.045845581301414300000,-0.004801963004330330000,
1880,11,NA,0.034409630115166000000,-0.004719643736115220000,
1880,12,NA,0.074459691519031000000,0.015473109909356100000,
1881,1,18.47395230140490000,-0.009602205319504180000,-0.006402219189779570000,
1881,2,18.14725816499020000,0.015059427336574700000,0.003630810237550190000,
1881,3,18.27011914020500000,-0.009365745639471680000,-0.006305092963174160000,
1881,4,17.95010827822290000,0.059315963802574400000,0.013649752276308200000,
1881,5,18.86971869315260000,0.016025641025641200000,0.003614662058821550000,
1881,6,19.02871073111580000,-0.040804091998424200000,-0.006321081139006530000,
1881,7,18.11636718738970000,-0.038724214274063900000,-0.015887583713028200000,
1881,8,17.28624355397350000,-0.025673701929375200000,-0.033918963517122200000,
1881,9,16.72483664877290000,-0.021017923458844200000,-0.005701300196232160000,
1881,10,16.26198941118140000,0.020220781372602300000,0.012969013825647300000,
1881,11,16.47864231664490000,-0.024771136241249400000,0.003582367724531470000,
1881,12,15.95875420610510000,-0.010537992235163700000,0.003576985598180650000,
1882,1,15.67876416002870000,-0.026554457738407500000,-0.006341127512942470000,
1882,2,15.15386152836300000,0.002878526194588500000,0.002948021109659530000,
1882,3,15.09167029948670000,-0.004604899964036790000,-0.006254514510822040000,
1882,4,14.91699716837530000,-0.016514074897086200000,-0.006162450461041800000,
1882,5,14.56710320219180000,-0.009589385343882650000,-0.006087344992196540000,
1882,6,14.32740489013170000,0.070680632628737900000,0.012070449502875400000,
1882,7,15.24055976121780000,0.025123195408502100000,-0.006085963248165900000,
1882,8,15.52542933146300000,0.042188838673911500000,0.030809792017038300000,
1882,9,16.08110662446230000,-0.013837076954656900000,0.012328230695264300000,
1882,10,15.75558103052660000,-0.029367206421905800000,0.012417400394122400000,
1882,11,15.19267031316530000,0.019363760330602900000,0.012500046495565800000,
1882,12,15.38212833208200000,-0.000559360730593594000,0.002954992648015240000,
1883,1,15.27025911909860000,-0.027021496586516900000,-0.006362759077461750000,
1883,2,14.75759014617620000,0.026735418435801700000,0.012640700957887900000,
1883,3,15.05125412140160000,0.035418196831228800000,0.012740030197367700000,
1883,4,15.48206722203670000,-0.002843269134748530000,0.012833012139834800000,
1883,5,15.33549763733710000,0.043757694452454900000,0.033181904297382200000,
1883,6,15.90338838858380000,0.009393015611999460000,0.023566366555131800000,
1883,7,15.94878312701700000,-0.040623909249563700000,0.003090165205070770000,
1883,8,15.19681087662980000,0.026434259555817600000,0.013432780051107600000,
1883,9,15.49469242579350000,-0.022177516576251000000,0.003088781735844700000,
1883,10,15.04805627022380000,0.030586821008322200000,0.013530160735481900000,
1883,11,15.40821814244890000,-0.027069524204960800000,-0.007247084090497460000,
1883,12,14.89640394188720000,-0.024839263420724300000,0.003086706533105940000,
1884,1,14.43282172197070000,0.032282818532818800000,0.003710392001862850000,
1884,2,14.80596022881670000,0.001331453634084930000,0.003703718819547230000,
1884,3,14.73602345401450000,-0.019997798996458000000,0.024822871158500600000,
1884,4,14.35345368257950000,-0.055848610676629400000,0.025279656112077400000,
1884,5,13.46505031380490000,-0.035125448028674100000,0.003683700154797580000,
1884,6,12.90687648366690000,0.016874437484376800000,0.014579494634226100000,
1884,7,13.04393158599170000,0.068697683109118400000,0.003670355114377300000,
1884,8,13.85981334176930000,-0.015403278192687400000,0.014695223783724300000,
1884,9,13.56915474433570000,-0.016178195027743400000,0.014811075663845800000,
1884,10,13.27325131913420000,0.007974515909616510000,0.026455498782207400000,
1884,11,13.30443760211970000,0.015178307241183700000,0.015182171219076100000,
1884,12,13.43229274694480000,-0.017200460829492900000,0.003636995094954410000,
1885,1,13.12981742563600000,0.024742126548275900000,-0.007432146675873110000,
1885,2,13.38481759359800000,0.031309751935450800000,0.027322195813473100000,
1885,3,13.73419409345250000,-0.008361464005323340000,-0.007582714814145960000,
1885,4,13.54854854103010000,0.017300075889400900000,0.027572814230163700000,
1885,5,13.71137187256190000,0.024787647945216000000,0.028130977697291100000,
1885,6,13.97878436869830000,0.030017122618733800000,-0.008020948604743010000,
1885,7,14.32665877708930000,0.060973467862481400000,0.003920218320278220000,
1885,8,15.13041079670720000,0.003766070767860400000,0.016005130091193000000,
1885,9,15.11628502872420000,0.062575268817204100000,0.003900620647559800000,
1885,10,15.99102396216900000,0.056475930443846500000,-0.008059677360692350000,
1885,11,16.82403449861900000,-0.026982744568826500000,-0.019463936226349500000,
1885,12,16.30447595227850000,0.027718197995173900000,0.027771761251400800000,
1886,1,16.69231747079770000,0.023024038461538300000,0.001756475011805980000,
1886,2,17.00664825946100000,-0.005217677754432940000,0.013836404722701800000,
1886,3,16.84326610157010000,0.002335272033322070000,0.013995801446629000000,
1886,4,16.80171613124630000,0.008845749399623680000,0.026834160308252000000,
1886,5,16.86319551509780000,0.062921797311034300000,0.014482100045551700000,
1886,6,17.83149405537690000,0.006125670189763180000,-0.010711449905191100000,
1886,7,17.84584504153220000,-0.001432391011505720000,-0.010544901392552600000,
1886,8,17.72391279961930000,0.029562383612662800000,0.001833714737158540000,
1886,9,18.14714392580000000,0.028785541439806600000,0.001844746975915750000,
1886,10,18.56238134286660000,0.028048672566371600000,0.001855778714147330000,
1886,11,18.96831263494280000,-0.034658590363458600000,-0.010351521775328500000,
1886,12,18.19405755688640000,-0.030985130177640000000,-0.021976248615635300000,
1887,1,17.51222209630490000,-0.015528569285516500000,-0.009898481922368090000,
1887,2,17.12536659697230000,0.026887785800240500000,0.001899900671152200000,
1887,3,17.47321371151380000,0.026308054085832000000,0.001910929913752520000,
1887,4,17.82298363910070000,0.020581896551724400000,0.001921958658622550000,
1887,5,18.07544542745820000,-0.013892669302845400000,0.013861195716953900000,
1887,6,17.70769566327300000,-0.009183910815234840000,0.014015035060576300000,
1887,7,17.43146053561310000,-0.033115542086319800000,-0.009972414128279540000,
1887,8,16.73984961482070000,0.002801446163855470000,0.014037354771547300000,
1887,9,16.67662966738010000,-0.041213406683311500000,-0.009950623629722770000,
1887,10,15.88066681251730000,0.011159068264948900000,-0.009800399837715630000,
1887,11,15.95071220106680000,-0.024679113861883400000,-0.021036128530568900000,
1887,12,15.45551345446990000,0.000019605310354942100,-0.009378621431913920000,
1888,1,15.35866251425990000,0.009698080897363900000,0.016130957303021100000,
1888,2,15.41817831882050000,-0.034011994949495000000,0.004567701185391070000,
1888,3,14.80897236694660000,0.019650680488909400000,0.016237020241454800000,
1888,4,15.02010868184450000,0.029645875119182600000,0.016356299229328000000,
1888,5,15.38791695722910000,-0.015496491876549400000,0.016484883850020400000,
1888,6,15.07762881843470000,0.017794796217683400000,-0.007306367074552120000,
1888,7,15.27964251549820000,0.025238326848249200000,0.004497885390940540000,
1888,8,15.60291167008880000,0.028492063492063300000,0.004483926939992110000,
1888,9,15.98782882176140000,-0.013566063328646300000,-0.007208364199155270000,
1888,10,15.71594187432970000,-0.028253440662952800000,-0.007091828903802000000,
1888,11,15.22374901694630000,-0.015426208651399700000,0.004442061041767480000,
1888,12,14.94674830108920000,0.059714368163096700000,0.040301850084125900000,
1889,1,15.80228607102820000,0.027310397701893800000,0.015169492183329400000,
1889,2,16.19272044784900000,-0.005191599330137800000,0.015315830208163700000,
1889,3,16.06504536076930000,0.001713230571611880000,0.003080611590452480000,
1889,4,16.05010453396750000,0.056425913274798600000,0.028155356575273900000,
1889,5,16.91542107606840000,0.020441729323308300000,0.003076494285885410000,
1889,6,17.21930294394770000,-0.016879235982748200000,0.003074435639627950000,
1889,7,16.88921449110750000,0.016718553459119700000,0.003072376997389050000,
1889,8,17.13185397534570000,0.014974826070288200000,-0.009312667204271820000,
1889,9,17.35078802634860000,-0.014822727272727200000,0.003068259724969380000,
1889,10,17.05321440295550000,-0.005851851851851890000,0.003066201094790170000,
1889,11,16.90602117024940000,-0.014349655594057900000,-0.009168791405456900000,
1889,12,16.61033807660340000,0.040092256502333200000,0.028138475760999300000,
1890,1,17.22007198218190000,-0.007744733581164680000,0.001451094348016160000,
1890,2,17.02681498267140000,-0.004072681704260670000,0.001466079815512170000,
1890,3,16.90112228858990000,0.024305555555555400000,0.001481064093989290000,
1890,4,17.25785454260320000,0.033159117752977500000,-0.010867503871414400000,
1890,5,17.78643048785860000,-0.003855278766310870000,0.001511029089802160000,
1890,6,17.68436084445020000,-0.003882915173237580000,0.001526009810091320000,
1890,7,17.58929544086490000,-0.055151134588016200000,-0.034228621615489300000,
1890,8,16.59679113397910000,-0.024856349821331100000,-0.010227468500160700000,
1890,9,16.16970200061530000,-0.041666666666666500000,0.001570944878163340000,
1890,10,15.48284916334440000,-0.046797575395662900000,0.025720360534810600000,
1890,11,14.74504349329280000,-0.019462137296532500000,0.001600895694239270000,
1890,12,14.44299123133840000,0.069039881207231300000,0.013831140831355600000,
1891,1,15.42898008646910000,0.003940945886971690000,-0.008931274758595790000,
1891,2,15.47652233243260000,-0.026355924406505900000,-0.008787738233256510000,
1891,3,15.05162335765740000,0.024874208519918700000,-0.008649608670659230000,
1891,4,15.40894512547410000,0.011565858463688000000,0.015093946504126400000,
1891,5,15.56649523071330000,0.007489380076711290000,0.027616773493033700000,
1891,6,15.65821139563820000,-0.000525621963411993000,0.015533482659361600000,
1891,7,15.61791923864600000,0.037386443046820500000,0.003147100097816710000,
1891,8,16.16399850996310000,0.098414650694134400000,0.015684429866682500000,
1891,9,17.71126141325650000,0.003439649781113110000,0.003144344022184330000,
1891,10,17.71656858982640000,0.000942502862737227000,0.015841443425618200000,
1891,11,17.67173917476400000,0.033968253968254000000,0.003141587951254630000,
1891,12,18.20630300020990000,0.048441937229430000000,0.029195641409783400000,
1892,1,19.01638840422530000,0.005192075015124200000,0.001959452674405340000,
1892,2,19.03642504097850000,0.041313236864593200000,0.028689525129804900000,
1892,3,19.73805484932300000,0.015129034036486500000,0.015522294347716200000,
1892,4,19.94326524163870000,0.003415619389587120000,0.001992530870278840000,
1892,5,19.91146521348980000,-0.001944943147815680000,0.002003555946343160000,
1892,6,19.76928439713680000,-0.022923194596308600000,-0.024355169347208600000,
1892,7,19.21188643450560000,0.004730275740334470000,-0.010987081825535500000,
1892,8,19.20430380317380000,-0.021426453143535000000,0.002036628213307300000,
1892,9,18.69427180958820000,0.023672445255474200000,0.002047651316751550000,
1892,10,19.04021491532470000,-0.025341006995161000000,-0.023309749799262500000,
1892,11,18.46331269080000000,-0.019592010923976200000,-0.010456628321153700000,
1892,12,18.01300925127570000,-0.015141787474541500000,-0.034139339639497600000,
1893,1,17.65664370809880000,-0.025969723884771600000,-0.008475797591381280000,
1893,2,17.12519385487240000,-0.009035824838952160000,0.027940919101669100000,
1893,3,16.89958903158230000,0.016211541249487200000,0.015851765253086700000,
1893,4,17.10254157825490000,-0.073238907444947500000,0.016002103643412600000,
1893,5,15.78098731077630000,-0.018771792988548700000,0.029185543548132300000,
1893,6,15.41650386359770000,-0.064854311240136600000,0.029859135753264500000,
1893,7,14.34985418276090000,0.021309985528744200000,0.044687220768131000000,
1893,8,14.58805653580780000,0.033654304133503100000,-0.036164146168035800000,
1893,9,15.01206907913880000,0.021049025522786600000,-0.009588636570346250000,
1893,10,15.27179415352020000,0.047374743664378800000,0.030197252098735200000,
1893,11,15.94241140057170000,-0.017349745387906600000,0.016996080100358800000,
1893,12,15.61269433546490000,0.011593806265815200000,0.031305187963543800000,
1894,1,15.73986935194820000,0.032927698592225300000,0.018893562533841800000,
1894,2,16.20273659644990000,0.064224533434631400000,0.033850186785427900000,
1894,3,17.18762208812190000,0.017677383592018100000,0.004712729940987930000,
1894,4,17.43484907805250000,-0.032944930707512800000,0.004697623461208390000,
1894,5,16.80875192091800000,-0.009280303030303250000,0.004682519010642760000,
1894,6,16.60631969529250000,-0.016384408602150500000,0.004667416592323060000,
1894,7,16.28967971491690000,0.012672853140014000000,-0.023647562327924600000,
1894,8,16.45777707299840000,0.005863834415322790000,-0.009315400503517650000,
1894,9,16.52231544487720000,0.000574448406806427000,0.033325436278775600000,
1894,10,16.50290420570840000,0.004095622119815620000,0.004607027302297120000,
1894,11,16.54278444744460000,0.009232575001313800000,0.019150519923897000000,
1894,12,16.67246633376770000,-0.007591085271317580000,0.004576844929930380000,
1895,1,16.52444393516270000,-0.010064705882352800000,0.001905710386215230000,
1895,2,16.33123769321140000,0.004077167859984020000,0.001915968796503350000,
1895,3,16.36462542717480000,0.003378545256976560000,-0.039819860201855600000,
1895,4,16.38754382368630000,0.044262038002847300000,-0.011789169081119300000,
1895,5,17.08036955338240000,0.009312582907329950000,-0.011592425124274200000,
1895,6,17.20741353978340000,0.021575686504928800000,0.015681764534832600000,
1895,7,17.54601464874060000,0.032446939231653800000,0.015883976673829700000,
1895,8,18.07407254724180000,0.009655532359081450000,0.001977510725294170000,
1895,9,18.20033594660550000,-0.011180843706777500000,0.001987766294569760000,
1895,10,17.94470662246650000,-0.030321052631579100000,0.001998021459398650000,
1895,11,17.34299899192170000,-0.042070063887433100000,0.016120375153406700000,
